Agency_Name,Emission_Year,Facility_Name,Source_Name,Activity_Type,Fuel_Type,Fuel,End_Use_Sector,Technology,Fuel_Quantity,Fuel_Quantity_Units,Mobile_Fuel_Quantity,Mobile_Fuel_Quantity_Units,CO2e_Metric_Tons
California African American Museum,2010,Building,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,740160,kWh,0,,221.13951
California African American Museum,2010,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,4916,therm,0,,26.06463
California African American Museum,2010,Vehicle Fleet,Honda,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2005),351,gal,6089,mi,3.08178
California African American Museum,2010,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",93.232,gal,2239,mi,0.81858
California African American Museum,2011,Building,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,758040,kWh,0,,226.48156
California African American Museum,2011,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,3953.2,therm,0,,20.95987
California African American Museum,2011,Vehicle Fleet,Honda,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2005),319,gal,5528,mi,2.80082
California African American Museum,2011,Vehicle Fleet,Van,Mobile Combustion - Scope 1,Motor Gasoline,All,"Gasoline Light Trucks (Vans, Pickup Trucks, SUVs)","Vans, Pickup Trucks, SUVs (Model Year 2003)",125.5556,gal,1592,mi,1.10238
California African American Museum,2012,Building,Electricity,Purchased Electricity - Scope 2,WECC California,All,All,Unspecified Technology,804960,kWh,0,,240.49997
California African American Museum,2012,Building,Natural Gas,Stationary Combustion - Scope 1,Natural Gas,Unspecified (Weighted U.S. Average),Commercial,Unspecified Technology,4906,therm,0,,26.01161
California African American Museum,2012,Vehicle Fleet,Honda,Mobile Combustion - Scope 1,Motor Gasoline,All,Gasoline Passenger Cars,Cars (Model Year 2005),291.6,gal,5040,mi,2.56025
